谱信息：
开始时间,20:01:00
测量时间,168.079
死时间,12.616
总计数,3154083
通道1道址,通道1计数,通道2道址,通道2计数
313,6256,313,6307
314,6318,314,6420
315,6428,315,6336
316,6390,316,6316
317,6394,317,6400
318,6485,318,6434
319,6442,319,6439
320,6477,320,6444
321,6521,321,6338
322,6363,322,6284
323,6489,323,6282
324,6394,324,6484
325,6255,325,6273
326,6346,326,6312
327,6402,327,6242
328,6393,328,6313
329,6423,329,6216
330,6259,330,6332
331,6273,331,6276
332,6265,332,6126
333,6326,333,6444
334,6344,334,6298
335,6382,335,6341
336,6327,336,6213
337,6450,337,6366
338,6357,338,6521
339,6263,339,6203
340,6279,340,6382
341,6331,341,6446
342,6341,342,6368
343,6393,343,6288
344,6299,344,6318
345,6212,345,6492
346,6170,346,6302
347,6176,347,6427
348,6352,348,6187
349,6149,349,6132
350,6184,350,6134
351,6248,351,6020
352,5993,352,6037
353,6077,353,6128
354,5876,354,5956
355,5988,355,5927
356,5884,356,5738
357,5780,357,5538
358,5554,358,5371
359,5419,359,5257
360,5147,360,5134
361,5133,361,5099
362,4944,362,5177
363,5165,363,5147
364,5286,364,5311
365,5403,365,5168
366,5517,366,5585
367,5666,367,5772
368,5859,368,5740
369,5977,369,5813
370,5953,370,6055
371,6082,371,6126
372,6222,372,6050
373,6295,373,6199
374,6154,374,6006
375,6234,375,6114
376,6187,376,6187
377,6301,377,6309
378,6264,378,6255
379,6321,379,6131
380,6254,380,6503
381,6342,381,6265
382,6326,382,6362
383,6319,383,6329
384,6407,384,6157
385,6342,385,6362
386,6357,386,6269
387,6346,387,6409
388,6317,388,6354
389,6240,389,6408
390,6284,390,6376
391,6375,391,6435
392,6333,392,6344
393,6344,393,6380
394,6281,394,6449
395,6318,395,6354
396,6374,396,6294
397,6406,397,6267
398,6456,398,6319
399,6222,399,6275
400,6161,400,6264
401,6267,401,6285
402,6221,402,6429
403,6312,403,6364
404,6334,404,6346
405,6400,405,6383
406,6248,406,6413
407,6405,407,6347
408,6323,408,6333
409,6208,409,6298
410,6311,410,6193
411,6408,411,6339
412,6378,412,6153
413,6516,413,6213
414,6323,414,6206
415,6517,415,6349
416,6375,416,6125
417,6325,417,6373
418,6297,418,6338
419,6355,419,6163
420,6201,420,6219
421,6349,421,6296
422,6370,422,6287
423,6279,423,6332
424,6172,424,6341
425,6212,425,6315
426,6282,426,6125
427,6312,427,6204
428,5983,428,6224
429,6144,429,6238
430,6233,430,6227
431,6075,431,6210
432,6013,432,6174
433,5994,433,6047
434,6085,434,5931
435,6026,435,6080
436,5687,436,5748
437,5901,437,5702
438,5568,438,5596
439,5371,439,5344
440,5304,440,5200
441,5045,441,5050
