通道二计数表：,,
ID,计数时长(s),计数
356,2.3,14980
357,2.3,14992
358,2.3,15110
359,2.3,15055
360,2.3,15151
361,2.3,15035
362,2.3,15036
363,2.3,15184
364,2.3,15214
365,2.3,15099
366,2.3,15123
367,2.3,15313
368,2.3,15046
369,2.3,14964
370,2.3,15176
371,2.3,15068
372,2.3,14996
373,2.3,14980
374,2.3,15042
375,2.3,15156
376,2.3,14764
377,2.3,60
378,2.3,51
379,2.3,51
380,2.3,57
381,2.3,43
382,2.3,39
383,2.3,44
384,2.3,42
385,2.3,60
386,2.3,50
387,2.3,52
388,2.3,38
389,2.3,36
390,2.3,37
391,2.3,39
392,2.3,35
393,2.3,48
394,2.3,47
395,2.3,60
396,2.3,32
397,2.3,44
398,2.3,49
399,2.3,44
400,2.3,41
401,2.3,64
402,2.3,53
403,2.3,40
404,2.3,52
405,2.3,46
