通道一计数表：,,
ID,计数时长(s),计数
357,1.8,12211
358,1.8,12405
359,1.8,12349
360,1.8,12501
361,1.8,12176
362,1.8,12397
363,1.8,12181
364,1.8,12338
365,1.8,12390
366,1.8,12427
367,1.8,12224
368,1.8,12277
369,1.8,12301
370,1.8,12383
371,1.8,12054
372,1.8,12190
373,1.8,12521
374,1.8,12349
375,1.8,12324
376,1.8,12411
377,1.8,12143
378,1.8,12189
379,1.8,12219
380,1.8,12383
381,1.8,12256
382,1.8,12228
383,1.8,12209
384,1.8,12328
385,1.8,12247
386,1.8,12121
387,1.8,12086
388,1.8,12189
389,1.8,12028
390,1.8,12177
391,1.8,12114
392,1.8,12219
393,1.8,12263
394,1.8,12079
395,1.8,12128
396,1.8,12285
397,1.8,12210
398,1.8,12177
399,1.8,11992
400,1.8,12031
401,1.8,12170
402,1.8,12081
403,1.8,12185
404,1.8,12119
405,1.8,11954
406,1.8,12111
407,1.8,12034
408,1.8,11910
409,1.8,12018
410,1.8,12062
411,1.8,11985
412,1.8,12133
413,1.8,11998
414,1.8,12103
415,1.8,11955
416,1.8,12099
417,1.8,11852
418,1.8,12056
419,1.8,11865
420,1.8,11894
421,1.8,11981
422,1.8,11987
423,1.8,12139
424,1.8,12264
425,1.8,12136
426,1.8,11927
427,1.8,11967
428,1.8,11836
429,1.8,12087
430,1.8,12023
431,1.8,12137
432,1.8,11997
433,1.8,11963
434,1.8,12067
435,1.8,12089
436,1.8,11769
437,1.8,12045
438,1.8,11863
439,1.8,12018
440,1.8,11905
441,1.8,11852
442,1.8,11833
443,1.8,11840
444,1.8,12001
445,1.8,11955
446,1.8,11850
447,1.8,11873
448,1.8,11916
449,1.8,11919
450,1.8,11936
451,1.8,11868
452,1.8,11813
453,1.8,11791
454,1.8,12044
455,1.8,11823
456,1.8,11888
457,1.8,11850
458,1.8,11794
459,1.8,11809
460,1.8,11782
461,1.8,11966
462,1.8,11855
463,1.8,11819
464,1.8,11803
465,1.8,11962
466,1.8,11819
467,1.8,11988
468,1.8,11904
469,1.8,11711
470,1.8,11765
471,1.8,11919
472,1.8,11865
473,1.8,11774
474,1.8,11710
475,1.8,11848
476,1.8,11875
477,1.8,11829
478,1.8,11744
479,1.8,11759
480,1.8,11825
481,1.8,36
482,1.8,38
483,1.8,48
484,1.8,34
485,1.8,30
486,1.8,35
487,1.8,34
488,1.8,44
489,1.8,50
490,1.8,38
491,1.8,35
492,1.8,34
493,1.8,35
494,1.8,40
495,1.8,34
496,1.8,34
497,1.8,37
498,1.8,33
499,1.8,34
500,1.8,44
501,1.8,44
502,1.8,28
503,1.8,29
504,1.8,25
505,1.8,31
506,1.8,39
507,1.8,38
508,1.8,41
509,1.8,34
510,1.8,28
511,1.8,27
512,1.8,30
513,1.8,28
514,1.8,29
515,1.8,29
516,1.8,41
517,1.8,40
518,1.8,37
