通道一计数表：
ID,计数时长(s),计数
1,1,1806
2,1,1833
3,1,1837
4,1,1798
5,1,1814
6,1,1830
7,1,1792
8,1,1812
9,1,1715
10,1,1900
11,1,1912
12,1,1763
13,1,1909
14,1,1885
15,1,1802
16,1,1863
17,1,1859
18,1,1776
19,1,1860
20,1,1886
21,1,1822
22,1,1855
23,1,1808
24,1,1787
25,1,1806
26,1,1836
27,1,1898
28,1,1779
29,1,1879
30,1,1793
31,1,1759
32,1,1866
33,1,1785
34,1,1837
35,1,1848
36,1,1796
37,1,1860
38,1,1824
39,1,1802
40,1,1822
41,1,1843
42,1,1843
43,1,1895
44,1,1817
45,1,1829
46,1,1822
47,1,1813
48,1,1803
49,1,1765
50,1,1800
51,1,1756
52,1,1826
53,1,1771
54,1,1773
55,1,1814
56,1,1835
57,1,1739
58,1,1793
59,1,1746
60,1,1828
61,1,1873
62,1,1770
63,1,1855
64,1,1866
65,1,1788
66,1,1759
67,1,1814
68,1,1871
69,1,1832
70,1,1791
71,1,1765
72,1,1819
73,1,1767
74,1,1889
75,1,1820
76,1,1883
77,1,1781
78,1,1806
79,1,1776

通道二计数表：
ID,计数时长(s),计数
1,5,9073
2,5,9015
3,5,9054
4,5,8952
5,5,8953
6,5,9100
7,5,9062
8,5,8972
9,5,9053
10,5,8983
11,5,8967
12,5,8978
13,5,9109
14,5,9190
15,5,9161
16,5,9158
