通道一计数表：
ID,计数时长(s),计数
1,1,834
2,1,847
3,1,768
4,1,762
5,1,792
6,1,770
7,1,794
8,1,819
9,1,828
10,1,870
11,1,793
12,1,790
13,1,775
14,1,788
15,1,849
16,1,789
17,1,801
18,1,809
19,1,840
20,1,827
21,1,783
22,1,798
23,1,827
24,1,795
25,1,811
26,1,813
27,1,814
28,1,796
29,1,849
30,1,801
31,1,811
32,1,772
33,1,792
34,1,796
35,1,818
36,1,785
37,1,785
38,1,770
39,1,782
40,1,815
41,1,837
42,1,819
43,1,776
44,1,788
45,1,768
46,1,801
47,1,814
48,1,834
49,1,743
50,1,850
51,1,795
52,1,823
53,1,813
54,1,785
55,1,776
56,1,834
57,1,828
58,1,820
59,1,780
60,1,804
61,1,829
62,1,885
63,1,825
64,1,822
65,1,864

通道二计数表：
ID,计数时长(s),计数
1,5,4151
2,5,4078
3,5,3939
4,5,4170
5,5,4016
6,5,4006
7,5,4015
8,5,4043
9,5,4036
10,5,4014
11,5,4094
12,5,3898
13,5,4063
