通道一计数表：
ID,计数时长(s),计数
1,1,1133
2,1,1114
3,1,1117
4,1,1119
5,1,1138
6,1,1146
7,1,1120
8,1,1147
9,1,1122
10,1,1150
11,1,1130
12,1,1106
13,1,1174
14,1,1125
15,1,1184
16,1,1102
17,1,1123
18,1,1159
19,1,1176
20,1,1046
21,1,1125
22,1,1147
23,1,1174
24,1,1151
25,1,1124
26,1,1129
27,1,1143
28,1,1130
29,1,1130
30,1,1127
31,1,1156
32,1,1054
33,1,1121
34,1,1089
35,1,1144
36,1,1179
37,1,1071
38,1,1161
39,1,1091
40,1,1096
41,1,1128
42,1,1086
43,1,1111
44,1,1146
45,1,1121
46,1,1088
47,1,1167
48,1,1107
49,1,1103
50,1,1094
51,1,1114
52,1,1112
53,1,1140
54,1,1164
55,1,1174
56,1,1133
57,1,1124
58,1,1047
59,1,1117
60,1,1155
61,1,1129
62,1,1190
63,1,1181
64,1,1156
65,1,1086
66,1,1104
67,1,1146
68,1,1118
69,1,1111
70,1,1175
71,1,1205
72,1,1147
73,1,1158

通道二计数表：
ID,计数时长(s),计数
1,5,5652
2,5,5668
3,5,5714
4,5,5736
5,5,5820
6,5,5688
7,5,5558
8,5,5612
9,5,5555
10,5,5611
11,5,5685
12,5,5514
13,5,5720
14,5,5636
