通道一计数表：
ID,计数时长(s),计数
1,1,2478
2,1,2376
3,1,2320
4,1,2355
5,1,2415
6,1,2428
7,1,2411
8,1,2388
9,1,2381
10,1,2313
11,1,2433
12,1,2450
13,1,2365
14,1,2433
15,1,2442
16,1,2369
17,1,2363
18,1,2376
19,1,2409
20,1,2443
21,1,2333
22,1,2442
23,1,2441
24,1,2364
25,1,2328
26,1,2562
27,1,2442
28,1,2486
29,1,2436
30,1,2318
31,1,2430
32,1,2399
33,1,2332
34,1,2433
35,1,2390
36,1,2406
37,1,2459
38,1,2496
39,1,2430
40,1,2389
41,1,2415
42,1,2337
43,1,2436
44,1,2406
45,1,2367
46,1,2379
47,1,2454
48,1,2372
49,1,2419
50,1,2372
51,1,2382
52,1,2422
53,1,2326
54,1,2432
55,1,2432
56,1,2404
57,1,2451
58,1,2421
59,1,2430
60,1,2382
61,1,2406
62,1,2373
63,1,2361
64,1,2330
65,1,2461
66,1,2425
67,1,2345
68,1,2321
69,1,2351
70,1,2420
71,1,2312
72,1,2349
73,1,2413
74,1,2347
75,1,2424

通道二计数表：
ID,计数时长(s),计数
1,5,11934
2,5,11904
3,5,11908
4,5,11761
5,5,11878
6,5,12099
7,5,11782
8,5,11992
9,5,11901
10,5,11793
11,5,11832
12,5,11893
13,5,11894
14,5,11877
15,5,11855
