通道一计数表：
ID,计数时长(s),计数
1,1,783
2,1,825
3,1,801
4,1,758
5,1,741
6,1,742
7,1,751
8,1,793
9,1,820
10,1,788
11,1,813
12,1,773
13,1,764
14,1,749
15,1,782
16,1,795
17,1,743
18,1,804
19,1,784
20,1,777
21,1,752
22,1,785
23,1,795
24,1,806
25,1,807
26,1,790
27,1,761
28,1,765
29,1,781
30,1,720
31,1,814
32,1,776
33,1,765
34,1,813
35,1,764
36,1,776
37,1,773
38,1,781
39,1,726
40,1,789
41,1,782
42,1,734
43,1,788
44,1,808
45,1,761
46,1,748
47,1,825
48,1,780
49,1,779
50,1,761
51,1,793
52,1,725
53,1,794
54,1,813
55,1,784
56,1,787
57,1,793
58,1,776
59,1,828
60,1,789
61,1,712
62,1,737
63,1,777
64,1,767
65,1,762
66,1,770
67,1,742
68,1,842
69,1,829
70,1,778

通道二计数表：
ID,计数时长(s),计数
1,5,4014
2,5,3962
3,5,3971
4,5,3991
5,5,3808
6,5,3905
7,5,3904
8,5,3876
9,5,3846
10,5,3860
11,5,3943
12,5,3990
13,5,3961
14,5,3898
