谱信息：
开始时间,20:17:20
测量时间,82.607
死时间,0.396
总计数,99047
最大值,10033
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数
233,0,233,1855,233,1244
234,0,234,1845,234,1253
235,0,235,1971,235,1207
236,1,236,1864,236,1219
237,1,237,1918,237,1194
238,1,238,1855,238,1202
239,0,239,1835,239,1192
240,0,240,1878,240,1163
241,0,241,1952,241,1254
242,0,242,1901,242,1157
243,1,243,1962,243,1263
244,0,244,1850,244,1238
245,0,245,1853,245,1194
246,1,246,1933,246,1201
247,1,247,1975,247,1237
248,0,248,1910,248,1222
249,1,249,1830,249,1273
250,0,250,1993,250,1237
251,0,251,1962,251,1207
252,1,252,1824,252,1269
253,4,253,1917,253,1239
254,2,254,1978,254,1262
255,2,255,1932,255,1194
256,3,256,1960,256,1241
257,1,257,1888,257,1198
258,1,258,1947,258,1196
259,2,259,1959,259,1222
260,3,260,1991,260,1265
261,1,261,1981,261,1211
262,0,262,2030,262,1276
263,1,263,2016,263,1287
264,2,264,2003,264,1216
265,1,265,1999,265,1287
266,2,266,2029,266,1205
267,2,267,2027,267,1167
268,1,268,1954,268,1231
269,0,269,1973,269,1185
270,0,270,2055,270,1212
271,1,271,1851,271,1211
272,0,272,2017,272,1256
273,1,273,2002,273,1217
274,3,274,1972,274,1262
275,3,275,1994,275,1190
276,1,276,1868,276,1284
277,1,277,1982,277,1265
278,1,278,2022,278,1274
279,1,279,1945,279,1270
280,0,280,1958,280,1240
281,2,281,1887,281,1200
282,1,282,1964,282,1205
283,2,283,1921,283,1248
284,1,284,1993,284,1246
285,2,285,2043,285,1301
286,0,286,2001,286,1272
287,1,287,1986,287,1277
288,0,288,1926,288,1283
289,0,289,2025,289,1250
290,0,290,1956,290,1285
291,2,291,1983,291,1286
292,0,292,2018,292,1260
293,0,293,1954,293,1320
294,0,294,1993,294,1313
295,2,295,1957,295,1305
296,0,296,1988,296,1230
297,0,297,2020,297,1295
298,1,298,2007,298,1221
299,0,299,2009,299,1279
300,0,300,1917,300,1235
301,1,301,2091,301,1249
302,0,302,2036,302,1308
303,1,303,2041,303,1255
304,0,304,2049,304,1251
305,0,305,2015,305,1274
306,2,306,2049,306,1331
307,0,307,2030,307,1240
308,1,308,1971,308,1195
309,0,309,2084,309,1279
310,1,310,1960,310,1298
311,0,311,1991,311,1334
312,2,312,2009,312,1256
313,1,313,2072,313,1361
314,1,314,2082,314,1321
315,0,315,2037,315,1354
316,0,316,2041,316,1317
317,0,317,2037,317,1282
318,2,318,2150,318,1284
319,1,319,2094,319,1285
320,0,320,2085,320,1331
321,0,321,2144,321,1257
322,1,322,1987,322,1262
323,2,323,2068,323,1304
324,3,324,2156,324,1311
325,2,325,2119,325,1321
326,3,326,2185,326,1266
327,2,327,2068,327,1315
328,0,328,2063,328,1310
329,1,329,2136,329,1324
330,3,330,2122,330,1369
331,4,331,2017,331,1295
332,2,332,2099,332,1351
333,1,333,2090,333,1254
334,3,334,2024,334,1316
335,2,335,2136,335,1288
336,4,336,2133,336,1333
337,4,337,2127,337,1340
338,2,338,2058,338,1298
339,2,339,2111,339,1293
340,0,340,2150,340,1330
341,4,341,2108,341,1311
342,0,342,2208,342,1324
343,0,343,2253,343,1345
344,0,344,2173,344,1291
345,1,345,2129,345,1357
346,1,346,2224,346,1281
347,0,347,2108,347,1314
348,0,348,2212,348,1373
349,2,349,2249,349,1372
350,1,350,2185,350,1297
351,0,351,2145,351,1340
352,1,352,2243,352,1414
353,1,353,2166,353,1351
354,0,354,2170,354,1327
355,1,355,2230,355,1337
356,1,356,2239,356,1314
357,0,357,2172,357,1347
358,0,358,2262,358,1311
359,0,359,2268,359,1314
360,3,360,2223,360,1354
361,2,361,2236,361,1372
362,1,362,2172,362,1369
363,0,363,2246,363,1369
364,3,364,2252,364,1297
365,1,365,2184,365,1375
366,0,366,2221,366,1326
