μ子数据
开始时间,19:34:47
测量时间,79.4
μ子衰变数,1411
μ子通量数,102
日期时间,μ子寿命
20221205 19:34:59,0.98
20221205 19:34:59,6.58
20221205 19:34:59,1.56
20221205 19:34:59,1.96
20221205 19:34:59,0.6
20221205 19:34:59,1.68
20221205 19:34:59,3.06
20221205 19:34:59,0.48
20221205 19:34:59,1.84
20221205 19:34:59,4.07
20221205 19:34:59,1.11
20221205 19:34:59,0.14
20221205 19:34:59,0.53
20221205 19:34:59,0.14
20221205 19:34:59,2.58
20221205 19:34:59,7.2
20221205 19:34:59,3.97
20221205 19:34:59,1.59
20221205 19:34:59,0.82
20221205 19:34:59,0.16
20221205 19:34:59,0.23
20221205 19:34:59,5.03
20221205 19:35:00,0.61
20221205 19:35:00,0.91
20221205 19:35:00,0.92
20221205 19:35:00,0.34
20221205 19:35:00,1.34
20221205 19:35:00,2.68
20221205 19:35:00,0.22
20221205 19:35:00,0.15
20221205 19:35:00,6.12
20221205 19:35:00,4.54
20221205 19:35:00,0.64
20221205 19:35:00,1.2
20221205 19:35:00,0.44
20221205 19:35:00,1.27
20221205 19:35:01,0.61
20221205 19:35:01,3.74
20221205 19:35:01,2.66
20221205 19:35:01,2.12
20221205 19:35:01,0.31
20221205 19:35:01,0.81
20221205 19:35:01,0.7
20221205 19:35:01,7.49
20221205 19:35:01,0.4
20221205 19:35:01,10.51
20221205 19:35:01,1.53
20221205 19:35:01,2.15
20221205 19:35:01,0.66
20221205 19:35:01,4.83
20221205 19:35:01,1.94
20221205 19:35:01,3.08
20221205 19:35:01,4.23
20221205 19:35:01,0.25
20221205 19:35:01,4.44
20221205 19:35:01,2.39
20221205 19:35:01,0.39
20221205 19:35:02,1.92
20221205 19:35:02,1.13
20221205 19:35:02,4.2
20221205 19:35:02,3.71
20221205 19:35:02,0.93
20221205 19:35:02,0.22
20221205 19:35:02,7.27
20221205 19:35:02,2.69
20221205 19:35:02,4.2
20221205 19:35:02,1.29
20221205 19:35:02,3.13
20221205 19:35:02,2.17
20221205 19:35:02,2.62
20221205 19:35:02,0.85
20221205 19:35:02,0.4
20221205 19:35:02,0.93
20221205 19:35:02,2.43
20221205 19:35:02,0.63
20221205 19:35:03,0.6
20221205 19:35:03,0.14
20221205 19:35:03,2.93
20221205 19:35:03,0.78
20221205 19:35:03,2.48
20221205 19:35:03,2.31
