μ子数据
开始时间,19:34:47
测量时间,79.4
μ子衰变数,1411
μ子通量数,102
日期时间,μ子寿命
20221205 19:35:41,3.88
20221205 19:35:41,1.86
20221205 19:35:41,2.17
20221205 19:35:41,6.92
20221205 19:35:42,7.73
20221205 19:35:42,3.31
20221205 19:35:42,1.03
20221205 19:35:42,0.59
20221205 19:35:42,0.23
20221205 19:35:42,4.17
20221205 19:35:42,10.34
20221205 19:35:42,0.6
20221205 19:35:42,5.32
20221205 19:35:42,0.15
20221205 19:35:42,1.25
20221205 19:35:42,1.48
20221205 19:35:42,8.23
20221205 19:35:42,0.31
20221205 19:35:42,0.96
20221205 19:35:42,1.19
20221205 19:35:42,0.92
20221205 19:35:42,3.56
20221205 19:35:42,0.32
20221205 19:35:42,0.39
20221205 19:35:42,0.91
20221205 19:35:42,0.57
20221205 19:35:42,0.34
20221205 19:35:43,10.15
20221205 19:35:43,0.29
20221205 19:35:43,1.57
20221205 19:35:43,1.13
20221205 19:35:43,3.06
20221205 19:35:43,0.18
20221205 19:35:43,2.33
20221205 19:35:43,5.49
20221205 19:35:43,1.5
20221205 19:35:43,4.44
20221205 19:35:43,0.15
20221205 19:35:43,2.39
20221205 19:35:43,1.36
20221205 19:35:44,1.11
20221205 19:35:44,2.34
20221205 19:35:44,5.99
20221205 19:35:44,3.61
20221205 19:35:44,4.48
20221205 19:35:44,0.77
20221205 19:35:44,1.4
20221205 19:35:44,0.56
20221205 19:35:44,2.3
20221205 19:35:45,0.27
20221205 19:35:45,6.76
20221205 19:35:45,0.15
20221205 19:35:45,1.04
20221205 19:35:45,1.35
20221205 19:35:45,1.2
20221205 19:35:45,0.36
20221205 19:35:45,2.42
20221205 19:35:45,0.82
20221205 19:35:45,1.31
20221205 19:35:45,1.45
20221205 19:35:45,3.02
20221205 19:35:45,0.47
20221205 19:35:45,2.38
20221205 19:35:45,1.34
20221205 19:35:45,1.05
20221205 19:35:45,0.73
20221205 19:35:45,0.61
20221205 19:35:45,1.62
20221205 19:35:45,1.67
20221205 19:35:45,2.22
20221205 19:35:45,4.82
20221205 19:35:45,5.49
20221205 19:35:45,5.73
20221205 19:35:45,0.25
20221205 19:35:46,6.04
20221205 19:35:46,3.87
20221205 19:35:46,0.22
20221205 19:35:46,5.74
20221205 19:35:46,1.97
20221205 19:35:46,3.75
20221205 19:35:46,0.15
20221205 19:35:46,8.77
20221205 19:35:46,2.44
20221205 19:35:46,2.47
20221205 19:35:46,0.87
20221205 19:35:46,6.89
20221205 19:35:46,2.32
20221205 19:35:46,0.25
20221205 19:35:46,5.16
20221205 19:35:46,1.44
20221205 19:35:46,2.72
20221205 19:35:46,3.53
20221205 19:35:46,0.15
20221205 19:35:46,9.95
20221205 19:35:46,1.48
20221205 19:35:46,0.6
20221205 19:35:46,5.72
20221205 19:35:47,0.73
20221205 19:35:47,0.7
20221205 19:35:47,0.67
20221205 19:35:47,4.72
20221205 19:35:47,4.14
20221205 19:35:47,0.54
20221205 19:35:47,0.72
20221205 19:35:47,0.34
20221205 19:35:47,1.98
20221205 19:35:47,7.18
20221205 19:35:47,4.01
20221205 19:35:47,2.5
20221205 19:35:47,4.2
20221205 19:35:47,0.15
20221205 19:35:47,0.77
20221205 19:35:47,1.44
20221205 19:35:47,0.56
20221205 19:35:47,0.78
20221205 19:35:47,3.4
20221205 19:35:47,2.47
20221205 19:35:47,0.88
20221205 19:35:47,0.86
20221205 19:35:47,4.66
20221205 19:35:47,0.14
20221205 19:35:48,0.26
20221205 19:35:48,0.86
20221205 19:35:48,1.96
20221205 19:35:48,1.45
20221205 19:35:48,1.23
20221205 19:35:48,0.2
20221205 19:35:48,1.1
20221205 19:35:48,0.59
20221205 19:35:48,2.12
20221205 19:35:48,0.53
20221205 19:35:48,5.81
20221205 19:35:48,1.27
20221205 19:35:49,1.77
20221205 19:35:49,3.05
20221205 19:35:49,0.53
20221205 19:35:49,5.6
20221205 19:35:49,10.71
20221205 19:35:49,0.22
20221205 19:35:49,0.42
20221205 19:35:49,0.82
20221205 19:35:49,1.37
20221205 19:35:49,3.67
20221205 19:35:49,0.2
20221205 19:35:49,0.96
20221205 19:35:49,0.54
20221205 19:35:49,10.65
20221205 19:35:49,3.17
20221205 19:35:49,0.6
20221205 19:35:50,1.43
20221205 19:35:50,0.72
20221205 19:35:50,2.03
20221205 19:35:50,1.01
20221205 19:35:50,0.12
20221205 19:35:50,2.04
20221205 19:35:50,1.45
20221205 19:35:50,2.31
20221205 19:35:50,1.32
20221205 19:35:50,2.42
20221205 19:35:50,0.11
20221205 19:35:50,1.28
20221205 19:35:50,4.16
20221205 19:35:50,0.45
20221205 19:35:50,1.85
20221205 19:35:51,1.21
20221205 19:35:51,0.16
20221205 19:35:51,3.16
20221205 19:35:51,2.08
20221205 19:35:51,1.39
20221205 19:35:51,2.88
20221205 19:35:51,3.47
20221205 19:35:51,1.17
20221205 19:35:51,2.64
20221205 19:35:51,2.2
20221205 19:35:51,4.14
20221205 19:35:51,1.41
20221205 19:35:51,1.17
20221205 19:35:51,1.87
20221205 19:35:51,5.06
20221205 19:35:52,6.01
20221205 19:35:52,2.37
20221205 19:35:52,0.86
20221205 19:35:52,0.92
20221205 19:35:52,2.46
20221205 19:35:52,0.32
20221205 19:35:52,3.88
20221205 19:35:52,2.6
20221205 19:35:52,1.64
20221205 19:35:52,6.33
20221205 19:35:52,3.08
20221205 19:35:52,0.49
20221205 19:35:52,5.84
20221205 19:35:52,5.27
20221205 19:35:53,3.27
20221205 19:35:53,2.01
20221205 19:35:53,1.07
20221205 19:35:53,0.2
20221205 19:35:53,0.5
20221205 19:35:53,1.09
20221205 19:35:53,2.6
20221205 19:35:53,0.91
20221205 19:35:53,0.55
20221205 19:35:53,3.04
20221205 19:35:53,2.75
20221205 19:35:53,1.01
20221205 19:35:53,0.24
20221205 19:35:53,0.11
20221205 19:35:53,5.03
20221205 19:35:53,1.45
20221205 19:35:53,1.73
20221205 19:35:53,0.83
20221205 19:35:53,0.54
20221205 19:35:53,0.16
20221205 19:35:53,1.08
20221205 19:35:53,2.28
20221205 19:35:54,0.16
20221205 19:35:54,3.65
20221205 19:35:54,1.5
20221205 19:35:54,0.69
20221205 19:35:54,0.8
20221205 19:35:54,1.2
20221205 19:35:54,0.14
20221205 19:35:54,1.21
20221205 19:35:54,2.34
20221205 19:35:54,2.01
20221205 19:35:54,0.8
20221205 19:35:54,0.23
20221205 19:35:54,1.85
20221205 19:35:54,0.75
20221205 19:35:54,1.04
20221205 19:35:54,3.82
20221205 19:35:54,0.43
20221205 19:35:54,0.56
20221205 19:35:54,0.21
20221205 19:35:55,1.92
20221205 19:35:55,4.67
20221205 19:35:55,3.16
20221205 19:35:55,0.84
20221205 19:35:55,0.31
20221205 19:35:55,1.12
20221205 19:35:55,1.71
20221205 19:35:55,1.12
20221205 19:35:55,2.08
20221205 19:35:55,0.92
20221205 19:35:55,0.58
20221205 19:35:55,1.01
20221205 19:35:55,2.22
20221205 19:35:55,7.92
20221205 19:35:55,0.21
20221205 19:35:55,2.03
20221205 19:35:55,2.91
20221205 19:35:55,2.5
20221205 19:35:56,2.29
20221205 19:35:56,0.94
20221205 19:35:56,1.6
20221205 19:35:56,2.74
20221205 19:35:56,2.42
20221205 19:35:56,0.11
20221205 19:35:56,8.2
20221205 19:35:56,11.12
20221205 19:35:56,1.23
20221205 19:35:56,1.77
20221205 19:35:56,0.6
20221205 19:35:56,7.68
20221205 19:35:56,0.26
20221205 19:35:56,0.89
20221205 19:35:56,0.54
20221205 19:35:56,1.17
20221205 19:35:57,0.5
20221205 19:35:57,6.03
20221205 19:35:57,1.07
20221205 19:35:57,2.35
20221205 19:35:57,0.32
20221205 19:35:57,2.58
20221205 19:35:57,1.74
20221205 19:35:57,4.32
20221205 19:35:57,0.83
20221205 19:35:57,0.94
20221205 19:35:57,1.3
20221205 19:35:57,1.47
20221205 19:35:57,2.08
20221205 19:35:57,11.04
20221205 19:35:57,3.23
20221205 19:35:57,0.37
20221205 19:35:57,2.64
20221205 19:35:57,5.11
20221205 19:35:58,0.81
20221205 19:35:58,1.32
20221205 19:35:58,1.05
20221205 19:35:58,0.3
20221205 19:35:58,3.44
20221205 19:35:58,7.73
20221205 19:35:58,5.33
20221205 19:35:58,1.31
20221205 19:35:58,0.15
20221205 19:35:58,7.48
20221205 19:35:58,3.46
20221205 19:35:59,0.59
20221205 19:35:59,0.92
20221205 19:35:59,1.52
20221205 19:35:59,0.93
20221205 19:35:59,0.27
20221205 19:35:59,3.16
20221205 19:35:59,2.16
20221205 19:35:59,2.09
20221205 19:35:59,0.55
20221205 19:35:59,0.69
20221205 19:35:59,5.25
20221205 19:35:59,3.19
20221205 19:35:59,2.1
20221205 19:35:59,5.29
20221205 19:35:59,5.03
20221205 19:35:59,1.28
20221205 19:35:59,0.93
20221205 19:35:59,3.1
20221205 19:35:59,0.54
20221205 19:35:59,7.18
20221205 19:36:00,3.38
20221205 19:36:00,0.8
20221205 19:36:00,5.94
20221205 19:36:00,0.57
20221205 19:36:00,4.24
20221205 19:36:00,2.98
20221205 19:36:00,6.52
20221205 19:36:00,1.73
20221205 19:36:00,0.68
20221205 19:36:00,1.33
20221205 19:36:00,0.23
20221205 19:36:00,1.3
20221205 19:36:00,0.86
20221205 19:36:00,4.84
20221205 19:36:00,0.15
20221205 19:36:00,5.47
20221205 19:36:00,1.09
20221205 19:36:00,1.5
20221205 19:36:00,6.82
20221205 19:36:01,1.96
20221205 19:36:01,9.76
20221205 19:36:01,2.29
20221205 19:36:01,1.82
20221205 19:36:01,0.97
20221205 19:36:01,0.66
20221205 19:36:01,2.11
20221205 19:36:01,0.15
20221205 19:36:01,3.65
20221205 19:36:01,2.19
20221205 19:36:01,1.33
20221205 19:36:01,1.25
20221205 19:36:01,5.7
20221205 19:36:01,0.93
20221205 19:36:01,1.92
20221205 19:36:01,2.66
20221205 19:36:01,0.47
20221205 19:36:02,7.34
20221205 19:36:02,5.82
20221205 19:36:02,0.85
20221205 19:36:02,4.54
20221205 19:36:02,0.71
20221205 19:36:02,2.24
20221205 19:36:02,1.13
20221205 19:36:02,0.21
20221205 19:36:02,1.17
20221205 19:36:02,0.51
20221205 19:36:02,0.5
20221205 19:36:02,1.8
20221205 19:36:02,1.82
20221205 19:36:02,3.87
20221205 19:36:02,1.17
20221205 19:36:03,2.21
20221205 19:36:03,0.51
20221205 19:36:03,6.09
20221205 19:36:03,0.71
20221205 19:36:03,0.56
20221205 19:36:03,0.2
20221205 19:36:03,1.54
20221205 19:36:03,4.71
20221205 19:36:03,5.44
20221205 19:36:03,8.23
20221205 19:36:03,2.06
20221205 19:36:03,1.06
20221205 19:36:03,1.33
20221205 19:36:03,1.34
20221205 19:36:03,0.38
20221205 19:36:03,1.18
20221205 19:36:03,1.6
20221205 19:36:04,1.33
20221205 19:36:04,0.88
20221205 19:36:04,0.92
20221205 19:36:04,2.1
20221205 19:36:04,0.58
20221205 19:36:04,6.99
20221205 19:36:04,4.32
20221205 19:36:04,0.15
20221205 19:36:04,0.77
20221205 19:36:04,5.22
20221205 19:36:04,2.6
20221205 19:36:04,4.87
20221205 19:36:04,1.1
20221205 19:36:04,2.5
20221205 19:36:04,1.32
20221205 19:36:04,2.24
20221205 19:36:04,3.69
20221205 19:36:04,2.41
20221205 19:36:04,3.6
20221205 19:36:05,0.52
20221205 19:36:05,0.15
20221205 19:36:05,3.08
20221205 19:36:05,0.37
20221205 19:36:05,5.12
20221205 19:36:05,0.75
20221205 19:36:05,0.89
20221205 19:36:05,2.73
20221205 19:36:05,5.3
20221205 19:36:05,1.55
20221205 19:36:05,0.62
20221205 19:36:05,0.62
20221205 19:36:05,1.72
20221205 19:36:05,5.1
20221205 19:36:05,0.19
20221205 19:36:05,3.55
20221205 19:36:05,0.19
20221205 19:36:05,0.52
20221205 19:36:06,1.14
20221205 19:36:06,1.56
20221205 19:36:06,0.13
20221205 19:36:06,1.39
20221205 19:36:06,0.8
探测器角度,μ子通量计数（/s）
30,3
30,0
30,1
30,1
30,2
30,1
30,0
30,1
30,0
30,2
30,0
30,0
30,2
30,2
30,0
30,0
30,2
30,4
30,0
30,0
30,0
30,1
30,1
30,4
30,0
30,1
30,3
30,2
30,1
30,1
30,0
30,1
30,2
30,2
30,1
30,1
30,1
30,1
30,0
30,4
30,2
30,1
30,1
30,3
30,2
30,1
30,0
30,2
30,1
30,1
30,1
30,2
30,3
30,0
30,2
30,1
30,0
30,1
30,3
30,2
30,2
30,1
30,1
30,3
30,1
30,0
30,4
30,0
30,3
30,0
30,3
30,1
30,1
30,0
30,0
30,1
30,1
30,3
