μ子数据
开始时间,19:22:03
测量时间,592.6
μ子衰变数,10330
μ子通量数,1718
日期时间,μ子寿命
20221205 19:22:16,5.59
20221205 19:22:16,1.28
20221205 19:22:16,0.9
20221205 19:22:16,1.9
20221205 19:22:16,0.17
20221205 19:22:16,0.64
20221205 19:22:16,3.38
20221205 19:22:16,1.28
20221205 19:22:16,5.99
20221205 19:22:16,1.89
20221205 19:22:16,0.43
20221205 19:22:17,2.12
20221205 19:22:17,4.18
20221205 19:22:17,0.31
20221205 19:22:17,1.12
20221205 19:22:17,2.41
20221205 19:22:17,5.51
20221205 19:22:17,0.99
20221205 19:22:17,2.83
20221205 19:22:17,4.41
20221205 19:22:17,0.5
20221205 19:22:17,3.17
20221205 19:22:17,0.41
20221205 19:22:17,0.69
20221205 19:22:17,0.21
20221205 19:22:18,0.45
20221205 19:22:18,5.04
20221205 19:22:18,1.83
20221205 19:22:18,5.2
20221205 19:22:18,0.34
20221205 19:22:18,2.32
20221205 19:22:18,1.54
20221205 19:22:18,4.43
20221205 19:22:18,6.22
20221205 19:22:18,0.8
20221205 19:22:18,0.42
20221205 19:22:18,0.61
20221205 19:22:19,1.35
20221205 19:22:19,1.31
20221205 19:22:19,3.16
20221205 19:22:19,1.09
20221205 19:22:19,0.5
20221205 19:22:19,3.42
20221205 19:22:19,2.74
20221205 19:22:19,2.32
20221205 19:22:19,3.85
20221205 19:22:19,2.66
20221205 19:22:19,7.07
20221205 19:22:19,1.75
20221205 19:22:19,0.33
20221205 19:22:19,2.06
20221205 19:22:19,0.22
20221205 19:22:19,2.43
20221205 19:22:19,0.12
20221205 19:22:19,0.76
20221205 19:22:19,2.89
20221205 19:22:19,0.18
20221205 19:22:19,3.87
20221205 19:22:19,2.3
20221205 19:22:20,1.13
20221205 19:22:20,0.38
20221205 19:22:20,1.33
20221205 19:22:20,1
20221205 19:22:20,1.03
20221205 19:22:20,5.61
20221205 19:22:20,2.28
20221205 19:22:20,0.33
20221205 19:22:20,3.58
20221205 19:22:20,3.23
20221205 19:22:20,4.64
20221205 19:22:20,2.04
20221205 19:22:20,4.37
20221205 19:22:20,0.52
20221205 19:22:20,4.36
20221205 19:22:21,0.27
20221205 19:22:21,0.95
20221205 19:22:21,3.41
20221205 19:22:21,1.61
20221205 19:22:21,0.42
20221205 19:22:21,0.9
20221205 19:22:21,2.79
20221205 19:22:21,1.22
20221205 19:22:21,2.34
20221205 19:22:22,1.47
20221205 19:22:22,1.95
20221205 19:22:22,0.14
20221205 19:22:22,0.3
20221205 19:22:22,1.65
20221205 19:22:22,4.2
20221205 19:22:22,0.35
20221205 19:22:22,6.06
20221205 19:22:22,0.86
20221205 19:22:22,3.56
20221205 19:22:22,1.83
20221205 19:22:22,1.12
20221205 19:22:22,3.37
20221205 19:22:22,1.51
20221205 19:22:22,4.08
20221205 19:22:22,3.44
20221205 19:22:22,5.15
20221205 19:22:22,2.75
20221205 19:22:22,4.58
20221205 19:22:22,4.4
20221205 19:22:22,0.12
20221205 19:22:22,0.43
20221205 19:22:22,0.32
20221205 19:22:23,1.36
20221205 19:22:23,0.77
20221205 19:22:23,1.93
20221205 19:22:23,0.83
20221205 19:22:23,0.83
20221205 19:22:23,9.85
20221205 19:22:23,0.61
20221205 19:22:23,1.38
20221205 19:22:23,2.11
20221205 19:22:23,0.43
20221205 19:22:23,0.91
20221205 19:22:23,8.29
20221205 19:22:23,1.35
20221205 19:22:23,0.1
20221205 19:22:23,3.54
20221205 19:22:23,2.51
20221205 19:22:23,1.51
20221205 19:22:23,0.2
20221205 19:22:23,6.33
20221205 19:22:24,1.02
20221205 19:22:24,1.51
20221205 19:22:24,0.7
20221205 19:22:24,1.04
20221205 19:22:24,0.48
20221205 19:22:24,0.71
20221205 19:22:24,1.22
20221205 19:22:24,1.2
20221205 19:22:24,5
20221205 19:22:24,3.21
20221205 19:22:24,2.35
20221205 19:22:24,0.14
20221205 19:22:24,0.17
20221205 19:22:24,0.59
20221205 19:22:24,4.26
20221205 19:22:24,0.7
20221205 19:22:24,3.59
20221205 19:22:24,0.31
20221205 19:22:25,4.22
20221205 19:22:25,0.72
20221205 19:22:25,2.07
20221205 19:22:25,1.46
20221205 19:22:25,5.39
20221205 19:22:25,1.41
20221205 19:22:25,0.81
20221205 19:22:25,6.16
20221205 19:22:25,0.99
20221205 19:22:25,1.09
20221205 19:22:25,2.61
20221205 19:22:25,0.64
20221205 19:22:25,2.06
20221205 19:22:25,1.87
20221205 19:22:25,1.9
20221205 19:22:25,1.22
20221205 19:22:25,4.09
20221205 19:22:26,2.05
20221205 19:22:26,2.91
20221205 19:22:26,3.04
20221205 19:22:26,9.41
20221205 19:22:26,0.81
20221205 19:22:26,1.01
20221205 19:22:26,3.23
20221205 19:22:26,3.07
20221205 19:22:26,1.31
20221205 19:22:26,3.38
20221205 19:22:26,0.33
20221205 19:22:26,0.64
20221205 19:22:26,0.66
20221205 19:22:26,0.32
20221205 19:22:26,0.61
20221205 19:22:26,3.9
20221205 19:22:26,4.88
20221205 19:22:26,2.53
20221205 19:22:26,1.42
20221205 19:22:27,0.71
20221205 19:22:27,3.04
20221205 19:22:27,1.81
20221205 19:22:27,4.27
20221205 19:22:27,1.25
20221205 19:22:27,0.6
20221205 19:22:27,0.46
20221205 19:22:27,0.51
20221205 19:22:27,0.25
20221205 19:22:27,0.47
20221205 19:22:27,0.55
20221205 19:22:27,1.75
20221205 19:22:28,0.53
20221205 19:22:28,3.1
20221205 19:22:28,2.2
20221205 19:22:28,2.82
20221205 19:22:28,0.52
20221205 19:22:28,1.63
20221205 19:22:28,0.69
20221205 19:22:28,0.31
20221205 19:22:28,0.22
20221205 19:22:28,2.17
20221205 19:22:28,0.62
20221205 19:22:28,3.66
20221205 19:22:28,0.42
20221205 19:22:28,0.96
20221205 19:22:28,3.41
20221205 19:22:28,0.69
20221205 19:22:28,1.54
20221205 19:22:28,6.87
20221205 19:22:28,1.2
20221205 19:22:29,5.92
20221205 19:22:29,0.79
20221205 19:22:29,1.15
20221205 19:22:29,1.15
20221205 19:22:29,0.79
20221205 19:22:29,0.77
20221205 19:22:29,5.2
