通道一计数表：,,,通道二计数表：,,
ID,计数时长(s),计数,ID,计数时长(s),计数
861,0.1,5,861,0.4,19
862,0.1,6,862,0.4,23
863,0.1,5,863,0.4,20
864,0.1,6,864,0.4,24
865,0.1,5,865,0.4,19
866,0.1,7,866,0.4,31
867,0.1,7,867,0.4,16
868,0.1,4,868,0.4,14
869,0.1,10,869,0.4,21
870,0.1,4,870,0.4,24
871,0.1,6,871,0.4,21
872,0.1,5,872,0.4,27
873,0.1,6,873,0.4,24
874,0.1,4,874,0.4,21
875,0.1,8,875,0.4,19
876,0.1,8,876,0.4,24
877,0.1,3,877,0.4,21
878,0.1,2,878,0.4,26
879,0.1,7,879,0.4,33
880,0.1,7,880,0.4,28
881,0.1,7,881,0.4,15
882,0.1,1,882,0.4,22
883,0.1,6,883,0.4,18
884,0.1,4,884,0.4,23
885,0.1,4,885,0.4,24
886,0.1,7,886,0.4,18
887,0.1,4,887,0.4,27
888,0.1,2,888,0.4,24
889,0.1,6,889,0.4,17
890,0.1,2,890,0.4,21
891,0.1,2,,,
892,0.1,6,,,
893,0.1,9,,,
894,0.1,6,,,
895,0.1,4,,,
896,0.1,3,,,
897,0.1,3,,,
898,0.1,4,,,
899,0.1,4,,,
900,0.1,6,,,
901,0.1,5,,,
902,0.1,7,,,
903,0.1,6,,,
904,0.1,6,,,
905,0.1,6,,,
906,0.1,6,,,
907,0.1,2,,,
908,0.1,7,,,
909,0.1,5,,,
910,0.1,7,,,
911,0.1,4,,,
912,0.1,3,,,
913,0.1,2,,,
914,0.1,10,,,
915,0.1,7,,,
916,0.1,8,,,
917,0.1,6,,,
918,0.1,7,,,
919,0.1,0,,,
920,0.1,2,,,
921,0.1,8,,,
922,0.1,7,,,
923,0.1,6,,,
924,0.1,6,,,
925,0.1,3,,,
926,0.1,4,,,
927,0.1,8,,,
928,0.1,1,,,
929,0.1,1,,,
930,0.1,7,,,
931,0.1,5,,,
932,0.1,7,,,
933,0.1,5,,,
934,0.1,6,,,
935,0.1,11,,,
936,0.1,5,,,
937,0.1,8,,,
938,0.1,1,,,
939,0.1,2,,,
940,0.1,5,,,
941,0.1,2,,,
942,0.1,4,,,
943,0.1,3,,,
944,0.1,8,,,
945,0.1,3,,,
946,0.1,5,,,
947,0.1,4,,,
948,0.1,4,,,
949,0.1,4,,,
950,0.1,6,,,
951,0.1,4,,,
952,0.1,3,,,
953,0.1,3,,,
954,0.1,3,,,
955,0.1,9,,,
956,0.1,5,,,
957,0.1,4,,,
958,0.1,3,,,
959,0.1,3,,,
960,0.1,1,,,
961,0.1,2,,,
962,0.1,5,,,
963,0.1,6,,,
964,0.1,3,,,
965,0.1,3,,,
966,0.1,3,,,
967,0.1,2,,,
968,0.1,7,,,
969,0.1,1,,,
970,0.1,3,,,
971,0.1,4,,,
972,0.1,5,,,
973,0.1,2,,,
974,0.1,4,,,
975,0.1,1,,,
976,0.1,3,,,
977,0.1,8,,,
978,0.1,7,,,
979,0.1,5,,,
980,0.1,7,,,
981,0.1,5,,,
982,0.1,5,,,
983,0.1,5,,,
984,0.1,12,,,
985,0.1,3,,,
986,0.1,6,,,
987,0.1,5,,,
988,0.1,3,,,
989,0.1,2,,,
990,0.1,6,,,
991,0.1,6,,,
992,0.1,8,,,
993,0.1,7,,,
994,0.1,2,,,
995,0.1,3,,,
996,0.1,3,,,
997,0.1,6,,,
998,0.1,8,,,
999,0.1,7,,,
1000,0.1,6,,,
1001,0.1,2,,,
1002,0.1,4,,,
1003,0.1,6,,,
1004,0.1,6,,,
1005,0.1,3,,,
1006,0.1,6,,,
1007,0.1,4,,,
1008,0.1,3,,,
1009,0.1,6,,,
1010,0.1,8,,,
1011,0.1,4,,,
1012,0.1,6,,,
1013,0.1,5,,,
1014,0.1,4,,,
1015,0.1,0,,,
1016,0.1,5,,,
1017,0.1,6,,,
1018,0.1,3,,,
1019,0.1,2,,,
1020,0.1,2,,,
1021,0.1,9,,,
1022,0.1,5,,,
1023,0.1,3,,,
1024,0.1,3,,,
1025,0.1,5,,,
1026,0.1,5,,,
1027,0.1,5,,,
1028,0.1,5,,,
1029,0.1,2,,,
1030,0.1,5,,,
1031,0.1,5,,,
1032,0.1,4,,,
1033,0.1,2,,,
1034,0.1,0,,,
1035,0.1,4,,,
1036,0.1,5,,,
1037,0.1,8,,,
1038,0.1,9,,,
1039,0.1,2,,,
1040,0.1,7,,,
1041,0.1,5,,,
1042,0.1,2,,,
1043,0.1,6,,,
1044,0.1,6,,,
1045,0.1,3,,,
1046,0.1,8,,,
1047,0.1,3,,,
1048,0.1,8,,,
1049,0.1,3,,,
1050,0.1,2,,,
1051,0.1,6,,,
1052,0.1,5,,,
1053,0.1,6,,,
1054,0.1,9,,,
1055,0.1,3,,,
1056,0.1,4,,,
1057,0.1,3,,,
1058,0.1,6,,,
1059,0.1,2,,,
1060,0.1,3,,,
1061,0.1,3,,,
1062,0.1,4,,,
1063,0.1,1,,,
1064,0.1,5,,,
1065,0.1,4,,,
1066,0.1,7,,,
1067,0.1,5,,,
1068,0.1,8,,,
1069,0.1,5,,,
1070,0.1,3,,,
1071,0.1,7,,,
1072,0.1,3,,,
1073,0.1,5,,,
1074,0.1,5,,,
1075,0.1,5,,,
1076,0.1,7,,,
1077,0.1,9,,,
1078,0.1,11,,,
1079,0.1,6,,,
1080,0.1,4,,,
1081,0.1,5,,,
1082,0.1,6,,,
1083,0.1,5,,,
1084,0.1,3,,,
1085,0.1,0,,,
1086,0.1,7,,,
1087,0.1,8,,,
1088,0.1,8,,,
1089,0.1,4,,,
1090,0.1,3,,,
1091,0.1,7,,,
1092,0.1,4,,,
1093,0.1,7,,,
1094,0.1,5,,,
1095,0.1,9,,,
1096,0.1,3,,,
1097,0.1,3,,,
1098,0.1,2,,,
1099,0.1,5,,,
1100,0.1,6,,,
1101,0.1,2,,,
1102,0.1,6,,,
1103,0.1,9,,,
1104,0.1,11,,,
1105,0.1,7,,,
1106,0.1,2,,,
1107,0.1,6,,,
1108,0.1,5,,,
1109,0.1,7,,,
1110,0.1,4,,,
1111,0.1,6,,,
1112,0.1,3,,,
1113,0.1,4,,,
1114,0.1,4,,,
1115,0.1,3,,,
1116,0.1,5,,,
1117,0.1,7,,,
1118,0.1,3,,,
1119,0.1,2,,,
1120,0.1,5,,,
1121,0.1,11,,,
1122,0.1,5,,,
1123,0.1,7,,,
1124,0.1,3,,,
1125,0.1,7,,,
1126,0.1,10,,,
1127,0.1,4,,,
1128,0.1,5,,,
1129,0.1,4,,,
1130,0.1,4,,,
1131,0.1,1,,,
1132,0.1,7,,,
1133,0.1,3,,,
1134,0.1,4,,,
1135,0.1,3,,,
1136,0.1,5,,,
1137,0.1,5,,,
1138,0.1,6,,,
1139,0.1,5,,,
1140,0.1,5,,,
1141,0.1,5,,,
1142,0.1,5,,,
1143,0.1,2,,,
1144,0.1,3,,,
1145,0.1,10,,,
1146,0.1,3,,,
1147,0.1,5,,,
1148,0.1,4,,,
1149,0.1,4,,,
1150,0.1,8,,,
1151,0.1,6,,,
1152,0.1,7,,,
1153,0.1,1,,,
1154,0.1,4,,,
1155,0.1,6,,,
1156,0.1,4,,,
1157,0.1,4,,,
1158,0.1,6,,,
1159,0.1,4,,,
1160,0.1,4,,,
1161,0.1,6,,,
1162,0.1,2,,,
1163,0.1,4,,,
1164,0.1,7,,,
1165,0.1,3,,,
1166,0.1,2,,,
1167,0.1,8,,,
1168,0.1,6,,,
1169,0.1,3,,,
1170,0.1,5,,,
1171,0.1,1,,,
1172,0.1,7,,,
1173,0.1,2,,,
1174,0.1,1,,,
1175,0.1,5,,,
1176,0.1,5,,,
1177,0.1,5,,,
1178,0.1,13,,,
1179,0.1,3,,,
1180,0.1,5,,,
1181,0.1,4,,,
1182,0.1,4,,,
1183,0.1,4,,,
1184,0.1,1,,,
1185,0.1,2,,,
1186,0.1,3,,,
1187,0.1,7,,,
1188,0.1,10,,,
1189,0.1,5,,,
1190,0.1,5,,,
1191,0.1,5,,,
1192,0.1,5,,,
1193,0.1,5,,,
1194,0.1,5,,,
1195,0.1,3,,,
1196,0.1,6,,,
1197,0.1,4,,,
1198,0.1,5,,,
1199,0.1,3,,,
1200,0.1,4,,,
1201,0.1,4,,,
1202,0.1,6,,,
1203,0.1,2,,,
1204,0.1,5,,,
1205,0.1,6,,,
1206,0.1,7,,,
1207,0.1,6,,,
1208,0.1,6,,,
1209,0.1,7,,,
1210,0.1,2,,,
1211,0.1,8,,,
1212,0.1,9,,,
1213,0.1,4,,,
1214,0.1,6,,,
1215,0.1,4,,,
1216,0.1,4,,,
1217,0.1,5,,,
1218,0.1,6,,,
1219,0.1,4,,,
1220,0.1,2,,,
1221,0.1,4,,,
1222,0.1,3,,,
1223,0.1,6,,,
1224,0.1,7,,,
1225,0.1,4,,,
1226,0.1,2,,,
1227,0.1,3,,,
1228,0.1,2,,,
1229,0.1,5,,,
1230,0.1,7,,,
1231,0.1,8,,,
1232,0.1,7,,,
1233,0.1,3,,,
1234,0.1,10,,,
1235,0.1,10,,,
1236,0.1,9,,,
1237,0.1,8,,,
1238,0.1,5,,,
1239,0.1,7,,,
1240,0.1,4,,,
1241,0.1,9,,,
1242,0.1,7,,,
1243,0.1,5,,,
1244,0.1,5,,,
1245,0.1,6,,,
1246,0.1,4,,,
1247,0.1,11,,,
1248,0.1,7,,,
1249,0.1,4,,,
1250,0.1,4,,,
1251,0.1,3,,,
1252,0.1,3,,,
1253,0.1,6,,,
1254,0.1,6,,,
1255,0.1,5,,,
1256,0.1,4,,,
1257,0.1,2,,,
1258,0.1,5,,,
1259,0.1,9,,,
1260,0.1,5,,,
1261,0.1,3,,,
1262,0.1,4,,,
1263,0.1,10,,,
1264,0.1,6,,,
1265,0.1,4,,,
1266,0.1,3,,,
1267,0.1,4,,,
1268,0.1,2,,,
1269,0.1,2,,,
1270,0.1,5,,,
1271,0.1,1,,,
1272,0.1,2,,,
1273,0.1,6,,,
1274,0.1,5,,,
1275,0.1,2,,,
1276,0.1,10,,,
1277,0.1,3,,,
1278,0.1,5,,,
1279,0.1,3,,,
1280,0.1,1,,,
1281,0.1,4,,,
1282,0.1,8,,,
1283,0.1,6,,,
1284,0.1,5,,,
1285,0.1,4,,,
1286,0.1,8,,,
1287,0.1,1,,,
1288,0.1,7,,,
1289,0.1,7,,,
1290,0.1,2,,,
1291,0.1,9,,,
1292,0.1,7,,,
1293,0.1,6,,,
1294,0.1,8,,,
1295,0.1,7,,,
1296,0.1,6,,,
1297,0.1,4,,,
1298,0.1,2,,,
1299,0.1,8,,,
1300,0.1,5,,,
1301,0.1,3,,,
1302,0.1,5,,,
1303,0.1,6,,,
1304,0.1,11,,,
1305,0.1,2,,,
1306,0.1,4,,,
1307,0.1,3,,,
1308,0.1,4,,,
1309,0.1,8,,,
1310,0.1,5,,,
1311,0.1,4,,,
1312,0.1,4,,,
1313,0.1,3,,,
1314,0.1,5,,,
1315,0.1,2,,,
1316,0.1,6,,,
1317,0.1,6,,,
1318,0.1,1,,,
1319,0.1,5,,,
1320,0.1,1,,,
1321,0.1,8,,,
1322,0.1,2,,,
1323,0.1,3,,,
1324,0.1,2,,,
1325,0.1,2,,,
1326,0.1,4,,,
1327,0.1,8,,,
1328,0.1,4,,,
1329,0.1,4,,,
1330,0.1,2,,,
1331,0.1,6,,,
1332,0.1,7,,,
1333,0.1,7,,,
1334,0.1,3,,,
1335,0.1,2,,,
1336,0.1,9,,,
1337,0.1,4,,,
1338,0.1,7,,,
1339,0.1,6,,,
1340,0.1,6,,,
1341,0.1,3,,,
1342,0.1,4,,,
1343,0.1,6,,,
1344,0.1,4,,,
1345,0.1,3,,,
1346,0.1,3,,,
1347,0.1,3,,,
1348,0.1,6,,,
1349,0.1,3,,,
1350,0.1,5,,,
1351,0.1,9,,,
1352,0.1,6,,,
1353,0.1,2,,,
1354,0.1,1,,,
1355,0.1,6,,,
1356,0.1,3,,,
1357,0.1,7,,,
1358,0.1,5,,,
1359,0.1,2,,,
1360,0.1,3,,,
1361,0.1,4,,,
1362,0.1,4,,,
1363,0.1,8,,,
1364,0.1,5,,,
1365,0.1,5,,,
1366,0.1,7,,,
1367,0.1,6,,,
1368,0.1,6,,,
1369,0.1,7,,,
1370,0.1,6,,,
1371,0.1,7,,,
1372,0.1,7,,,
1373,0.1,3,,,
1374,0.1,7,,,
1375,0.1,4,,,
1376,0.1,5,,,
1377,0.1,3,,,
1378,0.1,3,,,
1379,0.1,3,,,
1380,0.1,4,,,
1381,0.1,8,,,
1382,0.1,4,,,
1383,0.1,6,,,
1384,0.1,7,,,
1385,0.1,9,,,
1386,0.1,3,,,
1387,0.1,5,,,
1388,0.1,7,,,
1389,0.1,4,,,
1390,0.1,6,,,
1391,0.1,2,,,
1392,0.1,7,,,
1393,0.1,7,,,
1394,0.1,12,,,
1395,0.1,1,,,
1396,0.1,7,,,
1397,0.1,4,,,
1398,0.1,4,,,
1399,0.1,3,,,
1400,0.1,10,,,
1401,0.1,8,,,
1402,0.1,3,,,
1403,0.1,2,,,
1404,0.1,4,,,
1405,0.1,5,,,
1406,0.1,3,,,
1407,0.1,2,,,
1408,0.1,4,,,
1409,0.1,6,,,
1410,0.1,8,,,
1411,0.1,4,,,
1412,0.1,4,,,
1413,0.1,5,,,
1414,0.1,2,,,
1415,0.1,5,,,
1416,0.1,13,,,
1417,0.1,5,,,
1418,0.1,6,,,
1419,0.1,3,,,
1420,0.1,8,,,
1421,0.1,4,,,
1422,0.1,8,,,
1423,0.1,5,,,
1424,0.1,2,,,
1425,0.1,8,,,
1426,0.1,3,,,
1427,0.1,7,,,
1428,0.1,5,,,
1429,0.1,4,,,
1430,0.1,6,,,
1431,0.1,10,,,
1432,0.1,6,,,
1433,0.1,3,,,
1434,0.1,2,,,
1435,0.1,2,,,
1436,0.1,9,,,
1437,0.1,2,,,
1438,0.1,3,,,
1439,0.1,7,,,
1440,0.1,4,,,
1441,0.1,8,,,
1442,0.1,5,,,
1443,0.1,6,,,
1444,0.1,6,,,
1445,0.1,5,,,
1446,0.1,3,,,
1447,0.1,3,,,
1448,0.1,5,,,
1449,0.1,2,,,
1450,0.1,5,,,
1451,0.1,7,,,
1452,0.1,1,,,
1453,0.1,7,,,
1454,0.1,3,,,
1455,0.1,3,,,
1456,0.1,3,,,
1457,0.1,8,,,
1458,0.1,4,,,
1459,0.1,8,,,
1460,0.1,8,,,
1461,0.1,4,,,
1462,0.1,5,,,
1463,0.1,4,,,
1464,0.1,7,,,
1465,0.1,1,,,
1466,0.1,3,,,
1467,0.1,4,,,
1468,0.1,9,,,
1469,0.1,8,,,
1470,0.1,4,,,
1471,0.1,4,,,
1472,0.1,3,,,
1473,0.1,6,,,
1474,0.1,5,,,
1475,0.1,8,,,
1476,0.1,7,,,
1477,0.1,4,,,
1478,0.1,3,,,
1479,0.1,4,,,
1480,0.1,4,,,
1481,0.1,2,,,
1482,0.1,4,,,
1483,0.1,5,,,
1484,0.1,2,,,
1485,0.1,3,,,
1486,0.1,9,,,
1487,0.1,5,,,
1488,0.1,5,,,
1489,0.1,2,,,
1490,0.1,5,,,
1491,0.1,6,,,
1492,0.1,4,,,
1493,0.1,7,,,
1494,0.1,3,,,
1495,0.1,5,,,
1496,0.1,6,,,
1497,0.1,6,,,
1498,0.1,3,,,
1499,0.1,9,,,
1500,0.1,5,,,
1501,0.1,5,,,
1502,0.1,4,,,
1503,0.1,5,,,
1504,0.1,4,,,
1505,0.1,3,,,
1506,0.1,2,,,
1507,0.1,4,,,
1508,0.1,3,,,
1509,0.1,9,,,
1510,0.1,8,,,
1511,0.1,7,,,
1512,0.1,7,,,
1513,0.1,7,,,
1514,0.1,8,,,
1515,0.1,6,,,
1516,0.1,5,,,
1517,0.1,4,,,
1518,0.1,4,,,
1519,0.1,3,,,
1520,0.1,6,,,
1521,0.1,7,,,
1522,0.1,6,,,
1523,0.1,5,,,
1524,0.1,3,,,
1525,0.1,3,,,
1526,0.1,6,,,
1527,0.1,8,,,
1528,0.1,4,,,
1529,0.1,3,,,
1530,0.1,5,,,
1531,0.1,3,,,
1532,0.1,3,,,
1533,0.1,3,,,
1534,0.1,8,,,
1535,0.1,7,,,
1536,0.1,1,,,
1537,0.1,5,,,
1538,0.1,1,,,
1539,0.1,7,,,
1540,0.1,6,,,
1541,0.1,6,,,
1542,0.1,6,,,
1543,0.1,9,,,
1544,0.1,3,,,
1545,0.1,5,,,
1546,0.1,5,,,
1547,0.1,8,,,
1548,0.1,9,,,
1549,0.1,4,,,
1550,0.1,3,,,
1551,0.1,4,,,
1552,0.1,7,,,
1553,0.1,5,,,
1554,0.1,7,,,
1555,0.1,5,,,
1556,0.1,7,,,
1557,0.1,2,,,
1558,0.1,5,,,
1559,0.1,3,,,
1560,0.1,7,,,
1561,0.1,7,,,
1562,0.1,7,,,
1563,0.1,8,,,
1564,0.1,6,,,
1565,0.1,9,,,
1566,0.1,5,,,
1567,0.1,2,,,
1568,0.1,3,,,
1569,0.1,5,,,
1570,0.1,4,,,
1571,0.1,6,,,
1572,0.1,7,,,
1573,0.1,3,,,
1574,0.1,6,,,
1575,0.1,2,,,
1576,0.1,5,,,
1577,0.1,4,,,
1578,0.1,9,,,
1579,0.1,4,,,
1580,0.1,4,,,
1581,0.1,7,,,
1582,0.1,6,,,
1583,0.1,3,,,
1584,0.1,6,,,
1585,0.1,3,,,
1586,0.1,7,,,
1587,0.1,0,,,
1588,0.1,1,,,
1589,0.1,6,,,
1590,0.1,6,,,
1591,0.1,3,,,
1592,0.1,4,,,
1593,0.1,5,,,
1594,0.1,3,,,
1595,0.1,1,,,
1596,0.1,9,,,
1597,0.1,1,,,
1598,0.1,5,,,
1599,0.1,2,,,
1600,0.1,3,,,
1601,0.1,5,,,
1602,0.1,5,,,
1603,0.1,3,,,
1604,0.1,2,,,
1605,0.1,5,,,
1606,0.1,2,,,
1607,0.1,7,,,
1608,0.1,3,,,
1609,0.1,5,,,
1610,0.1,5,,,
1611,0.1,7,,,
1612,0.1,3,,,
1613,0.1,7,,,
1614,0.1,5,,,
1615,0.1,7,,,
1616,0.1,5,,,
1617,0.1,11,,,
1618,0.1,4,,,
1619,0.1,3,,,
1620,0.1,3,,,
1621,0.1,3,,,
1622,0.1,7,,,
1623,0.1,7,,,
1624,0.1,8,,,
1625,0.1,3,,,
1626,0.1,5,,,
1627,0.1,1,,,
1628,0.1,5,,,
1629,0.1,7,,,
1630,0.1,3,,,
1631,0.1,3,,,
1632,0.1,5,,,
1633,0.1,5,,,
1634,0.1,8,,,
1635,0.1,6,,,
1636,0.1,6,,,
1637,0.1,9,,,
1638,0.1,7,,,
1639,0.1,7,,,
1640,0.1,4,,,
1641,0.1,9,,,
1642,0.1,4,,,
1643,0.1,3,,,
1644,0.1,5,,,
1645,0.1,5,,,
1646,0.1,3,,,
1647,0.1,3,,,
1648,0.1,4,,,
1649,0.1,4,,,
1650,0.1,6,,,
1651,0.1,6,,,
1652,0.1,8,,,
1653,0.1,2,,,
1654,0.1,4,,,
1655,0.1,5,,,
1656,0.1,7,,,
1657,0.1,8,,,
1658,0.1,5,,,
1659,0.1,2,,,
1660,0.1,4,,,
1661,0.1,5,,,
1662,0.1,6,,,
1663,0.1,7,,,
1664,0.1,4,,,
1665,0.1,9,,,
1666,0.1,3,,,
1667,0.1,7,,,
1668,0.1,4,,,
1669,0.1,9,,,
1670,0.1,7,,,
1671,0.1,2,,,
1672,0.1,3,,,
1673,0.1,5,,,
1674,0.1,6,,,
1675,0.1,4,,,
1676,0.1,6,,,
1677,0.1,8,,,
1678,0.1,4,,,
1679,0.1,4,,,
1680,0.1,6,,,
1681,0.1,4,,,
1682,0.1,7,,,
1683,0.1,6,,,
1684,0.1,4,,,
1685,0.1,0,,,
1686,0.1,10,,,
1687,0.1,5,,,
1688,0.1,3,,,
1689,0.1,4,,,
1690,0.1,4,,,
1691,0.1,6,,,
1692,0.1,7,,,
1693,0.1,3,,,
1694,0.1,4,,,
1695,0.1,6,,,
1696,0.1,6,,,
1697,0.1,3,,,
1698,0.1,9,,,
1699,0.1,6,,,
1700,0.1,1,,,
1701,0.1,2,,,
1702,0.1,4,,,
1703,0.1,2,,,
1704,0.1,9,,,
1705,0.1,2,,,
1706,0.1,6,,,
1707,0.1,6,,,
1708,0.1,5,,,
1709,0.1,0,,,
1710,0.1,6,,,
1711,0.1,5,,,
1712,0.1,3,,,
1713,0.1,2,,,
1714,0.1,3,,,
1715,0.1,5,,,
1716,0.1,4,,,
1717,0.1,5,,,
1718,0.1,7,,,
1719,0.1,5,,,
1720,0.1,5,,,
1721,0.1,4,,,
1722,0.1,5,,,
1723,0.1,7,,,
1724,0.1,5,,,
1725,0.1,2,,,
1726,0.1,4,,,
1727,0.1,8,,,
1728,0.1,5,,,
1729,0.1,3,,,
1730,0.1,6,,,
1731,0.1,7,,,
1732,0.1,3,,,
1733,0.1,7,,,
1734,0.1,3,,,
1735,0.1,8,,,
1736,0.1,4,,,
1737,0.1,4,,,
1738,0.1,5,,,
1739,0.1,3,,,
1740,0.1,2,,,
1741,0.1,5,,,
1742,0.1,3,,,
1743,0.1,9,,,
1744,0.1,3,,,
1745,0.1,3,,,
1746,0.1,8,,,
1747,0.1,8,,,
1748,0.1,6,,,
1749,0.1,3,,,
1750,0.1,8,,,
1751,0.1,6,,,
1752,0.1,5,,,
1753,0.1,6,,,
1754,0.1,5,,,
1755,0.1,3,,,
1756,0.1,3,,,
1757,0.1,3,,,
1758,0.1,4,,,
1759,0.1,4,,,
1760,0.1,4,,,
1761,0.1,4,,,
1762,0.1,4,,,
1763,0.1,5,,,
1764,0.1,5,,,
1765,0.1,5,,,
1766,0.1,5,,,
1767,0.1,2,,,
1768,0.1,4,,,
1769,0.1,8,,,
1770,0.1,2,,,
1771,0.1,1,,,
1772,0.1,5,,,
1773,0.1,7,,,
1774,0.1,4,,,
1775,0.1,5,,,
1776,0.1,2,,,
1777,0.1,6,,,
1778,0.1,3,,,
1779,0.1,4,,,
1780,0.1,9,,,
1781,0.1,5,,,
1782,0.1,9,,,
1783,0.1,7,,,
1784,0.1,4,,,
1785,0.1,6,,,
1786,0.1,5,,,
1787,0.1,7,,,
1788,0.1,7,,,
1789,0.1,5,,,
1790,0.1,2,,,
1791,0.1,5,,,
1792,0.1,4,,,
1793,0.1,4,,,
1794,0.1,5,,,
1795,0.1,5,,,
1796,0.1,7,,,
1797,0.1,7,,,
1798,0.1,4,,,
1799,0.1,5,,,
1800,0.1,4,,,
1801,0.1,7,,,
1802,0.1,7,,,
1803,0.1,4,,,
1804,0.1,8,,,
1805,0.1,8,,,
1806,0.1,7,,,
1807,0.1,10,,,
1808,0.1,3,,,
1809,0.1,4,,,
1810,0.1,3,,,
1811,0.1,9,,,
1812,0.1,8,,,
1813,0.1,7,,,
1814,0.1,8,,,
1815,0.1,3,,,
1816,0.1,2,,,
1817,0.1,5,,,
1818,0.1,0,,,
1819,0.1,4,,,
1820,0.1,6,,,
1821,0.1,7,,,
1822,0.1,6,,,
1823,0.1,1,,,
1824,0.1,5,,,
1825,0.1,5,,,
1826,0.1,5,,,
1827,0.1,4,,,
1828,0.1,5,,,
1829,0.1,2,,,
1830,0.1,5,,,
1831,0.1,5,,,
1832,0.1,7,,,
1833,0.1,4,,,
1834,0.1,5,,,
1835,0.1,4,,,
1836,0.1,5,,,
1837,0.1,3,,,
1838,0.1,9,,,
1839,0.1,3,,,
1840,0.1,8,,,
1841,0.1,8,,,
1842,0.1,5,,,
1843,0.1,2,,,
1844,0.1,8,,,
1845,0.1,3,,,
1846,0.1,3,,,
1847,0.1,6,,,
1848,0.1,10,,,
1849,0.1,4,,,
1850,0.1,3,,,
1851,0.1,3,,,
1852,0.1,3,,,
1853,0.1,5,,,
1854,0.1,6,,,
1855,0.1,7,,,
1856,0.1,4,,,
1857,0.1,5,,,
1858,0.1,7,,,
1859,0.1,4,,,
1860,0.1,3,,,
1861,0.1,5,,,
1862,0.1,5,,,
1863,0.1,4,,,
1864,0.1,6,,,
1865,0.1,5,,,
1866,0.1,0,,,
1867,0.1,5,,,
1868,0.1,4,,,
1869,0.1,3,,,
1870,0.1,1,,,
1871,0.1,3,,,
1872,0.1,5,,,
1873,0.1,3,,,
1874,0.1,9,,,
1875,0.1,4,,,
1876,0.1,6,,,
1877,0.1,6,,,
1878,0.1,5,,,
1879,0.1,5,,,
1880,0.1,3,,,
1881,0.1,6,,,
1882,0.1,2,,,
1883,0.1,11,,,
1884,0.1,6,,,
1885,0.1,6,,,
1886,0.1,4,,,
1887,0.1,5,,,
1888,0.1,3,,,
1889,0.1,6,,,
1890,0.1,4,,,
1891,0.1,5,,,
1892,0.1,3,,,
1893,0.1,4,,,
1894,0.1,2,,,
1895,0.1,5,,,
1896,0.1,5,,,
1897,0.1,4,,,
1898,0.1,5,,,
1899,0.1,3,,,
1900,0.1,3,,,
1901,0.1,5,,,
1902,0.1,6,,,
1903,0.1,3,,,
1904,0.1,4,,,
1905,0.1,2,,,
1906,0.1,4,,,
1907,0.1,1,,,
1908,0.1,10,,,
1909,0.1,6,,,
1910,0.1,6,,,
1911,0.1,4,,,
1912,0.1,3,,,
1913,0.1,2,,,
1914,0.1,7,,,
1915,0.1,4,,,
1916,0.1,6,,,
1917,0.1,9,,,
1918,0.1,6,,,
1919,0.1,5,,,
1920,0.1,5,,,
1921,0.1,4,,,
1922,0.1,4,,,
1923,0.1,9,,,
1924,0.1,6,,,
1925,0.1,7,,,
1926,0.1,5,,,
1927,0.1,4,,,
1928,0.1,5,,,
1929,0.1,5,,,
1930,0.1,4,,,
1931,0.1,2,,,
1932,0.1,4,,,
1933,0.1,2,,,
1934,0.1,5,,,
1935,0.1,9,,,
1936,0.1,7,,,
1937,0.1,4,,,
1938,0.1,4,,,
1939,0.1,5,,,
1940,0.1,6,,,
1941,0.1,3,,,
1942,0.1,11,,,
1943,0.1,4,,,
1944,0.1,6,,,
1945,0.1,6,,,
1946,0.1,2,,,
1947,0.1,4,,,
1948,0.1,5,,,
1949,0.1,5,,,
1950,0.1,5,,,
1951,0.1,4,,,
1952,0.1,3,,,
1953,0.1,3,,,
1954,0.1,3,,,
1955,0.1,6,,,
1956,0.1,4,,,
1957,0.1,5,,,
1958,0.1,4,,,
1959,0.1,9,,,
1960,0.1,5,,,
1961,0.1,8,,,
1962,0.1,6,,,
1963,0.1,7,,,
1964,0.1,3,,,
1965,0.1,2,,,
1966,0.1,5,,,
1967,0.1,3,,,
1968,0.1,6,,,
1969,0.1,7,,,
1970,0.1,13,,,
1971,0.1,2,,,
1972,0.1,5,,,
1973,0.1,8,,,
1974,0.1,5,,,
1975,0.1,4,,,
1976,0.1,5,,,
1977,0.1,3,,,
1978,0.1,3,,,
1979,0.1,5,,,
1980,0.1,3,,,
1981,0.1,4,,,
1982,0.1,2,,,
1983,0.1,2,,,
1984,0.1,0,,,
1985,0.1,6,,,
1986,0.1,3,,,
1987,0.1,8,,,
1988,0.1,7,,,
1989,0.1,3,,,
1990,0.1,7,,,
1991,0.1,7,,,
1992,0.1,4,,,
1993,0.1,6,,,
1994,0.1,4,,,
1995,0.1,12,,,
1996,0.1,8,,,
1997,0.1,5,,,
1998,0.1,2,,,
1999,0.1,7,,,
2000,0.1,3,,,
2001,0.1,4,,,
2002,0.1,2,,,
2003,0.1,4,,,
2004,0.1,3,,,
2005,0.1,2,,,
2006,0.1,5,,,
2007,0.1,7,,,
2008,0.1,5,,,
2009,0.1,9,,,
2010,0.1,8,,,
2011,0.1,4,,,
2012,0.1,2,,,
2013,0.1,3,,,
2014,0.1,7,,,
2015,0.1,5,,,
2016,0.1,3,,,
2017,0.1,4,,,
2018,0.1,4,,,
2019,0.1,7,,,
2020,0.1,3,,,
2021,0.1,13,,,
