通道一计数表：,,,通道二计数表：,,
ID,计数时长(s),计数,ID,计数时长(s),计数
198,0.1,1,198,0.4,29
199,0.1,4,199,0.4,26
200,0.1,3,200,0.4,25
201,0.1,3,201,0.4,20
202,0.1,3,202,0.4,22
203,0.1,5,203,0.4,25
204,0.1,2,204,0.4,21
205,0.1,4,205,0.4,17
206,0.1,7,206,0.4,23
207,0.1,6,207,0.4,31
208,0.1,7,208,0.4,25
209,0.1,6,209,0.4,25
210,0.1,5,210,0.4,24
211,0.1,7,211,0.4,17
212,0.1,9,212,0.4,23
213,0.1,3,213,0.4,20
214,0.1,3,214,0.4,19
215,0.1,6,215,0.4,22
216,0.1,6,216,0.4,22
217,0.1,3,217,0.4,17
218,0.1,9,218,0.4,23
219,0.1,3,219,0.4,26
220,0.1,8,220,0.4,27
221,0.1,3,221,0.4,23
222,0.1,5,222,0.4,25
223,0.1,6,223,0.4,28
224,0.1,4,224,0.4,22
225,0.1,4,225,0.4,24
226,0.1,7,226,0.4,30
227,0.1,4,227,0.4,22
228,0.1,7,228,0.4,22
229,0.1,3,229,0.4,18
230,0.1,5,230,0.4,25
231,0.1,4,231,0.4,26
232,0.1,3,232,0.4,29
233,0.1,4,233,0.4,24
234,0.1,0,234,0.4,15
235,0.1,6,235,0.4,19
236,0.1,10,236,0.4,18
237,0.1,9,237,0.4,19
238,0.1,3,238,0.4,20
239,0.1,3,239,0.4,25
240,0.1,4,240,0.4,26
241,0.1,9,241,0.4,28
242,0.1,6,242,0.4,24
243,0.1,6,243,0.4,19
244,0.1,6,244,0.4,9
245,0.1,3,245,0.4,29
246,0.1,3,246,0.4,21
247,0.1,8,247,0.4,19
248,0.1,7,248,0.4,24
249,0.1,8,249,0.4,29
250,0.1,9,250,0.4,23
251,0.1,3,251,0.4,22
252,0.1,8,252,0.4,24
253,0.1,8,253,0.4,21
254,0.1,3,254,0.4,27
255,0.1,8,255,0.4,16
256,0.1,2,256,0.4,20
257,0.1,8,257,0.4,24
258,0.1,4,258,0.4,29
259,0.1,6,259,0.4,24
260,0.1,2,260,0.4,25
261,0.1,3,261,0.4,26
262,0.1,7,262,0.4,20
263,0.1,7,263,0.4,27
264,0.1,10,264,0.4,16
265,0.1,3,265,0.4,30
266,0.1,4,266,0.4,23
267,0.1,4,267,0.4,16
268,0.1,8,268,0.4,18
269,0.1,2,269,0.4,26
270,0.1,3,270,0.4,17
271,0.1,7,271,0.4,14
272,0.1,4,272,0.4,22
273,0.1,4,273,0.4,13
274,0.1,10,274,0.4,26
275,0.1,4,275,0.4,28
276,0.1,5,276,0.4,29
277,0.1,2,277,0.4,20
278,0.1,8,278,0.4,24
279,0.1,4,279,0.4,22
280,0.1,5,280,0.4,30
281,0.1,9,281,0.4,20
282,0.1,5,282,0.4,18
283,0.1,4,283,0.4,25
284,0.1,1,284,0.4,14
285,0.1,6,285,0.4,31
286,0.1,4,286,0.4,20
287,0.1,4,287,0.4,28
288,0.1,3,288,0.4,25
289,0.1,3,289,0.4,17
290,0.1,4,290,0.4,28
291,0.1,4,291,0.4,18
292,0.1,8,292,0.4,25
293,0.1,3,293,0.4,21
294,0.1,7,294,0.4,26
295,0.1,7,295,0.4,20
296,0.1,5,296,0.4,21
297,0.1,7,297,0.4,15
298,0.1,7,298,0.4,16
299,0.1,2,299,0.4,27
300,0.1,3,300,0.4,22
301,0.1,3,301,0.4,28
302,0.1,11,302,0.4,20
303,0.1,5,303,0.4,22
304,0.1,5,304,0.4,11
305,0.1,3,305,0.4,21
306,0.1,4,306,0.4,24
307,0.1,5,307,0.4,26
308,0.1,9,308,0.4,18
309,0.1,2,309,0.4,21
310,0.1,5,310,0.4,23
311,0.1,9,311,0.4,22
312,0.1,5,312,0.4,21
313,0.1,6,313,0.4,27
314,0.1,8,314,0.4,21
315,0.1,7,315,0.4,31
316,0.1,6,316,0.4,17
317,0.1,3,317,0.4,26
318,0.1,7,318,0.4,29
319,0.1,5,319,0.4,21
320,0.1,4,320,0.4,21
321,0.1,7,321,0.4,21
322,0.1,9,322,0.4,18
323,0.1,4,323,0.4,24
324,0.1,5,324,0.4,18
325,0.1,5,325,0.4,25
326,0.1,4,326,0.4,18
327,0.1,6,327,0.4,33
